original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
塔關山 20230619.gpx,HN_Taguan_0312.gpx,HN_Taguan,4.13,3.7,789.9,790.5,0.6,2023/6/19,221,TRUE,TRUE,FALSE,FALSE,0,0.851718759,0.234564826,0.535847472,塔關山 20230619.gpx,HN_Taguan
塔關山 - 2025-08-13T211724.960.gpx,HN_Taguan_0202.gpx,HN_Taguan,4.12,3.71,688,689.1,1.2,2023/2/5,222,TRUE,TRUE,FALSE,FALSE,0,-0.654845473,0.300073434,0.297022746,塔關山 - 2025-08-13T211724.960.gpx,HN_Taguan
塔關山 - 2025-08-13T211625.667.gpx,HN_Taguan_0180.gpx,HN_Taguan,3.85,3.72,660.2,657.1,3.1,2023/3/18,222,TRUE,TRUE,FALSE,FALSE,0,-1.555288646,0.099926179,0.30387679,塔關山 - 2025-08-13T211625.667.gpx,HN_Taguan
塔關山 (39).gpx,HN_Taguan_0128.gpx,HN_Taguan,4.15,3.74,693.4,729.2,35.8,2023/7/12,224,TRUE,TRUE,FALSE,FALSE,0,-0.269982503,0.290297087,0.346544021,塔關山 (39).gpx,HN_Taguan
塔關山 - 2025-08-13T211741.348.gpx,HN_Taguan_0207.gpx,HN_Taguan,4.15,3.74,698.3,699.2,0.9,2023/2/5,224,TRUE,TRUE,FALSE,FALSE,0,-0.45352089,0.300895775,0.308251764,塔關山 - 2025-08-13T211741.348.gpx,HN_Taguan
塔關山 (40).gpx,HN_Taguan_0130.gpx,HN_Taguan,3.77,3.74,643.9,646.6,2.7,2023/7/9,224,TRUE,TRUE,FALSE,FALSE,0,-1.88843817,0.035148317,0.294636102,塔關山 (40).gpx,HN_Taguan
塔關山 - 2025-08-13T211632.788.gpx,HN_Taguan_0183.gpx,HN_Taguan,4.29,3.76,734.8,720.1,14.7,2023/3/12,225,TRUE,TRUE,FALSE,FALSE,0,0.207332591,0.381857454,0.328217378,塔關山 - 2025-08-13T211632.788.gpx,HN_Taguan
塔關山 - 2025-08-13T212208.394.gpx,HN_Taguan_0274.gpx,HN_Taguan,4.04,3.76,713.4,712.7,0.7,2022/8/7,225,TRUE,TRUE,FALSE,FALSE,0,-0.432062069,0.190585032,0.371636787,塔關山 - 2025-08-13T212208.394.gpx,HN_Taguan
塔關山 (61).gpx,HN_Taguan_0146.gpx,HN_Taguan,4.53,3.77,798.1,785.8,12.3,2023/5/21,226,TRUE,TRUE,FALSE,FALSE,0,1.563746894,0.520632641,0.409047191,塔關山 (61).gpx,HN_Taguan
【塔關山】.gpx,HN_Taguan_0083.gpx,HN_Taguan,4.37,3.77,687.3,690.3,3,2023/7/12,226,TRUE,TRUE,FALSE,FALSE,0,-0.22204664,0.47086005,0.21607353,【塔關山】.gpx,HN_Taguan
塔關山 - 2025-08-13T212201.448.gpx,HN_Taguan_0272.gpx,HN_Taguan,4.27,3.79,856.1,881.3,25.2,2022/8/8,227,TRUE,TRUE,FALSE,FALSE,0,2.243000047,0.239695377,0.674294573,塔關山 - 2025-08-13T212201.448.gpx,HN_Taguan
塔關山 (53).gpx,HN_Taguan_0140.gpx,HN_Taguan,4.07,3.82,697.3,700.4,3.1,2023/6/22,229,TRUE,TRUE,FALSE,FALSE,0,-0.587874983,0.194690319,0.322124098,塔關山 (53).gpx,HN_Taguan
塔關山 (80).gpx,HN_Taguan_0159.gpx,HN_Taguan,3.98,3.83,741.1,744.9,3.8,2023/4/9,230,TRUE,TRUE,FALSE,FALSE,0,-0.094913447,0.082530338,0.452124933,塔關山 (80).gpx,HN_Taguan
塔關山 (3).gpx,HN_Taguan_0121.gpx,HN_Taguan,3.81,3.83,781.4,783.4,2,2025/6/11,230,TRUE,TRUE,FALSE,FALSE,0,0.191280322,-0.085376502,0.595291548,塔關山 (3).gpx,HN_Taguan
南橫之星：塔關山.gpx,HN_Taguan_0103.gpx,HN_Taguan,4.43,3.85,711.7,734.4,22.7,2022/12/10,231,TRUE,TRUE,FALSE,FALSE,0,0.383657259,0.450916798,0.273607422,南橫之星：塔關山.gpx,HN_Taguan
20220509塔關山.gpx,HN_Taguan_0032.gpx,HN_Taguan,4.07,3.85,816.9,833.9,17,2022/5/9,231,TRUE,TRUE,FALSE,FALSE,0,1.266911757,0.080737392,0.621086285,20220509塔關山.gpx,HN_Taguan
塔關山 - 2025-08-13T211641.115.gpx,HN_Taguan_0187.gpx,HN_Taguan,3.95,3.85,723.9,792.6,68.7,2023/3/8,230,TRUE,TRUE,FALSE,FALSE,0,0.076794698,0.034487769,0.510426415,塔關山 - 2025-08-13T211641.115.gpx,HN_Taguan
塔關山 - 2025-08-13T212012.990.gpx,HN_Taguan_0239.gpx,HN_Taguan,4.08,3.87,865.3,864.5,0.8,2022/10/30,232,TRUE,TRUE,FALSE,FALSE,0,1.863373818,0.048300879,0.704580853,塔關山 - 2025-08-13T212012.990.gpx,HN_Taguan
塔關山0603 (1).gpx,HN_Taguan_0317.gpx,HN_Taguan,4.37,3.88,748.2,735.5,12.6,2022/6/3,232,TRUE,TRUE,FALSE,FALSE,0,0.557217796,0.373203986,0.323188119,塔關山0603 (1).gpx,HN_Taguan
塔關山 - 2025-08-13T212410.226.gpx,HN_Taguan_0296.gpx,HN_Taguan,4.18,3.88,701,846.8,145.8,2022/6/18,232,TRUE,TRUE,FALSE,FALSE,0,0.699746741,0.190820506,0.494333596,塔關山 - 2025-08-13T212410.226.gpx,HN_Taguan
塔關山 - 2025-08-13T212402.060.gpx,HN_Taguan_0293.gpx,HN_Taguan,3.87,3.88,761.4,773.4,12,2022/6/19,232,TRUE,TRUE,FALSE,FALSE,0,0.074911196,-0.05138042,0.537850021,塔關山 - 2025-08-13T212402.060.gpx,HN_Taguan
塔關山 - 2025-08-13T211720.740.gpx,HN_Taguan_0199.gpx,HN_Taguan,3.54,3.88,622.1,630.1,8,2023/1/13,232,TRUE,TRUE,FALSE,FALSE,0,-2.560924806,-0.208520099,0.300191337,塔關山 - 2025-08-13T211720.740.gpx,HN_Taguan
