順序	緯度	經度	海拔（約）	類型	名稱
449	23.465855	120.947997	3321	gpx	N/A
450	23.465843	120.948064	3322.3	gpx	N/A
451	23.465813	120.948122	3323.8	gpx	N/A
452	23.465715	120.948208	3325.3	gpx	N/A
453	23.465683	120.948272	3326.8	gpx	N/A
454	23.465652	120.948408	3328.4	gpx	N/A
455	23.465654	120.948482	3330.1	gpx	N/A
456	23.465680	120.948522	3331.8	gpx	N/A
457	23.465724	120.948552	3333.7	gpx	N/A
458	23.465790	120.948568	3335.5	gpx	N/A
459	23.466063	120.948530	3340.5	gpx	N/A
460	23.466087	120.948539	3342	gpx	N/A
461	23.466109	120.948563	3343.5	gpx	N/A
462	23.466121	120.948614	3345	gpx	N/A
463	23.466132	120.948760	3346.5	gpx	N/A
464	23.466149	120.948809	3347.9	gpx	N/A
465	23.466186	120.948856	3349.4	gpx	N/A
466	23.466539	120.949031	3354.2	gpx	N/A
467	23.466586	120.949094	3355.3	gpx	N/A
468	23.466626	120.949183	3356.4	gpx	N/A
469	23.466633	120.949269	3357.4	gpx	N/A
470	23.466567	120.949501	3359	gpx	N/A
471	23.466555	120.949601	3359.6	gpx	N/A
472	23.466560	120.949668	3362.5	gpx	N/A
473	23.466547	120.949681	3365.3	gpx	N/A
474	23.466506	120.949710	3365.3	comm	cabin
475	23.466468	120.949761	3365.7	gpx	N/A
476	23.466383	120.949843	3364.8	gpx	N/A
477	23.466430	120.949798	3364.5	gpx	N/A
478	23.466430	120.949798	3348.3	gpx	N/A
479	23.466383	120.949843	3342.2	gpx	N/A
480	23.466468	120.949761	3348.3	gpx	N/A
481	23.466547	120.949681	3363.7	gpx	N/A
482	23.466560	120.949668	3373	gpx	N/A
483	23.466738	120.949616	3383.6	gpx	N/A
484	23.466861	120.949488	3386.9	gpx	N/A
485	23.466988	120.949302	3391.5	gpx	N/A
486	23.467048	120.949161	3393.2	gpx	N/A
487	23.467144	120.949029	3394.6	gpx	N/A
488	23.467164	120.948974	3395.8	gpx	N/A
489	23.467159	120.948920	3396.9	gpx	N/A
490	23.466962	120.948706	3399.4	gpx	N/A
491	23.466882	120.948609	3400.1	gpx	N/A
492	23.466858	120.948555	3400.7	gpx	N/A
493	23.466869	120.948496	3401.3	gpx	N/A
494	23.466962	120.948381	3404.5	gpx	N/A
495	23.467005	120.948272	3408.4	gpx	N/A
496	23.467002	120.948216	3411	gpx	N/A
497	23.466965	120.948152	3411.2	gpx	N/A
498	23.466821	120.948028	3411.6	gpx	N/A
499	23.466786	120.947969	3411.8	gpx	N/A
500	23.466779	120.947660	3412.5	gpx	N/A
501	23.466803	120.947376	3413.1	gpx	N/A
502	23.466882	120.947302	3413.4	gpx	N/A
503	23.466911	120.947253	3413.7	gpx	N/A
504	23.466912	120.947162	3413.9	gpx	N/A
505	23.466886	120.946975	3414.2	gpx	N/A
506	23.466898	120.946908	3414.5	gpx	N/A
507	23.467002	120.946768	3414.8	gpx	N/A
508	23.467112	120.946691	3415.1	gpx	N/A
509	23.467129	120.946652	3415.4	gpx	N/A
510	23.467133	120.946576	3415.7	gpx	N/A
511	23.467119	120.946520	3416	gpx	N/A
512	23.467061	120.946444	3416.3	gpx	N/A
513	23.467039	120.946390	3416.6	gpx	N/A
514	23.467038	120.946282	3416.9	gpx	N/A
515	23.467061	120.946201	3417.2	gpx	N/A
516	23.467187	120.946072	3417.5	gpx	N/A
517	23.467230	120.946004	3417.8	gpx	N/A
518	23.467304	120.945803	3418.4	gpx	N/A
519	23.467302	120.945722	3418.7	gpx	N/A
520	23.467203	120.945498	3419.3	gpx	N/A
521	23.467195	120.945452	3419.6	gpx	N/A
522	23.467198	120.945388	3419.9	gpx	N/A
523	23.467268	120.945226	3420.2	gpx	N/A
524	23.467386	120.945099	3420.5	gpx	N/A
525	23.467594	120.944969	3421.1	gpx	N/A
526	23.467719	120.944786	3421.6	gpx	N/A
527	23.467894	120.944970	3421.6	comm	peak
528	23.467947	120.944638	3422	gpx	N/A
529	23.468235	120.944384	3422.4	gpx	N/A
530	23.468301	120.944168	3422.3	gpx	N/A
531	23.468436	120.943977	3422.1	gpx	N/A
532	23.468531	120.943873	3421.9	gpx	N/A
533	23.468555	120.943688	3421.6	gpx	N/A
534	23.468618	120.943565	3421.3	gpx	N/A
535	23.468730	120.943447	3421	gpx	N/A
536	23.468772	120.943314	3420.6	gpx	N/A
537	23.468895	120.943173	3420.2	gpx	N/A
538	23.469013	120.943116	3419.8	gpx	N/A
539	23.469046	120.943078	3419.4	gpx	N/A
540	23.469075	120.943012	3419	gpx	N/A
541	23.469119	120.942780	3418.1	gpx	N/A
542	23.469139	120.942560	3417.2	gpx	N/A
543	23.469216	120.942415	3416.6	gpx	N/A
544	23.469279	120.942352	3416	gpx	N/A
545	23.469306	120.942254	3415.4	gpx	N/A
546	23.469329	120.942223	3414.7	gpx	N/A
547	23.469516	120.942166	3413.3	gpx	N/A
548	23.469682	120.942036	3411.5	gpx	N/A
549	23.469801	120.941910	3410.5	gpx	N/A
550	23.469940	120.941668	3408.1	gpx	N/A
551	23.470066	120.941512	3405.1	gpx	N/A
552	23.470250	120.941361	3402	gpx	N/A
553	23.470456	120.941238	3398.6	gpx	N/A
554	23.470570	120.941145	3396.8	gpx	N/A
555	23.470841	120.940883	3390.1	gpx	N/A
556	23.470895	120.940766	3388.5	gpx	N/A
557	23.470988	120.940720	3387	gpx	N/A
558	23.471086	120.940697	3385.6	gpx	N/A
559	23.471154	120.940654	3384.2	gpx	N/A
560	23.471412	120.940370	3379.7	gpx	N/A
561	23.471711	120.940244	3377.7	gpx	N/A
